land,datum,uhrzeit,postleitzahl,stadt,treffpunkt,protestform,livestream
DE,2020-10-12,18:00:00,09111,Chemnitz,Rathaus,Spaziergang,
DE,2020-10-12,18:30:00,71332,Waiblingen,Am Marktbrunnen,Spaziergang,
DE,2020-10-12,18:30:00,53111,Bonn,Marktplatz / Altes Rathaus,Spaziergang,
DE,2020-10-12,18:45:00,01067,Dresden,Neumarkt,Spaziergang,
DE,2020-10-12,19:00:00,18439,Stralsund,Alter Markt,Mahnwache,
DE,2020-10-12,19:00:00,07907,Schleiz,Neumarkt,Spaziergang,
DE,2020-10-12,19:00:00,07318,Saalfeld,Markt / Ecke Apotheke,Spaziergang,
DE,2020-10-12,19:00:00,07407,Rudolstadt,Markt,Spaziergang,
DE,2020-10-12,19:00:00,33098,Paderborn,Rathausplatz,Spaziergang,
DE,2020-10-12,19:00:00,17033,Neubrandenburg,Marktplatz / Innenstadt,Spaziergang,
DE,2020-10-12,19:00:00,99974,Mühlhausen/ Thüringen,Postplatz,Spaziergang,
DE,2020-10-12,19:00:00,97828,Marktheidenfeld,Busbahnhof,Spaziergang,
DE,2020-10-12,19:00:00,47906,Kempen,Buttermarkt,Spaziergang,
DE,2020-10-12,19:00:00,87600,Kaufbeuren,Altes Rathaus,Spaziergang,
DE,2020-10-12,19:00:00,26441,Jever,Marktplatz,Spaziergang,
DE,2020-10-12,19:00:00,88045,Friedrichshafen Bodensee,Kinderzeppelin vor dem Zeppeli,Spaziergang,
DE,2020-10-12,19:00:00,09599,Freiberg,Albertpark - Springbrunnen,Spaziergang,
DE,2020-10-12,19:00:00,99510,Apolda,Markt/ Rathaus,Spaziergang,
DE,2020-10-12,19:00:00,52064,Aachen,Katschhof an den Treppen,Musik,
DE,2020-10-14,18:00:00,10117,Berlin,Bundeskanzleramt,Kundgebung,https://demo.stream/mariagoetz
DE,2020-10-14,19:00:00,87776,Sontheim/Schwaben,Dampfsäg/Westerheimer Str. 10,Vortrag,
DE,2020-10-15,17:00:00,02625,Bautzen,Reichenturm / Platte,Spaziergang,
DE,2020-10-15,18:00:00,85586,Poing,S-Bahnhof / Neue Unterführung,Kundgebung,
DE,2020-10-16,17:00:00,74889,Sinsheim,Burgplatz,Kundgebung,
DE,2020-10-17,11:00:00,89522,Heidenheim,Bahnhof / Parkanlage,Kundgebung,
DE,2020-10-17,11:45:00,52525,Heinsberg,Parkplatz Ostpromenade,Demonstration,
DE,2020-10-17,11:45:00,52525,Heinsberg,Parkplatz Ostpromenade,Spaziergang,https://www.youtube.com/channel/UCwq7QORP0F7Xnma07LcsOdQ
DE,2020-10-17,11:45:00,52525,Heinsberg,Ostpromenade / Parkplatz,Spaziergang,
DE,2020-10-17,12:00:00,70372,Stuttgart,Cannstatter Wasen,Kundgebung,
DE,2020-10-17,13:00:00,63571,Gelnhausen,Parkplatz am Uferweg/ Bleiche,Kundgebung,
DE,2020-10-17,14:00:00,97080,Würzburg,Mainwiesen / Höhe Talavera,Kundgebung,
DE,2020-10-17,14:00:00,79215,Elzach,Nikolausplatz,Demonstration,
DE,2020-10-17,14:30:00,26382,Wilhelmshaven,Pacific Cafe,Spaziergang,
DE,2020-10-17,15:00:00,56068,Koblenz,Münzplatz,Kundgebung,
DE,2020-10-17,15:00:00,22926,Ahrensburg,Parkplatz Schlossbrücke,Spaziergang,
DE,2020-10-17,15:30:00,58455,Witten,Rathausplatz,Meditation,
DE,2020-10-17,15:30:00,14471,Potsdam,Brandenburger Tor,Kundgebung,
DE,2020-10-17,15:30:00,39104,Magdeburg,Domplatz,Kundgebung,
DE,2020-10-17,16:45:00,28211,Bremen,Platz am Hauptbahnhof,Kundgebung,
DE,2020-10-18,13:00:00,36433,Bad Salzungen,Puschkinpark,Event,
DE,2020-10-19,17:00:00,63825,Schöllkrippen,Marktplatz,Demonstration,
DE,2020-10-19,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-10-19,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-10-19,18:00:00,16321,Bernau,Bahnhofsvorplatz/Marktplatz,Kundgebung,
DE,2020-10-19,18:30:00,02763,Zittau,Markt,Spaziergang,
DE,2020-10-19,18:30:00,99510,Apolda,Markt/ Rathaus,Spaziergang,
DE,2020-10-19,19:00:00,21465,Reinbek-Wentorf,Schloß/Innenhof,Spaziergang,
DE,2020-10-19,19:00:00,47906,Kempen,Buttermarkt,Spaziergang,
DE,2020-10-19,19:00:00,26441,Jever,Marktplatz,Spaziergang,
DE,2020-10-19,20:00:00,69190,Walldorf,Drehscheibe,Kundgebung,
DE,2020-10-21,18:00:00,10117,Berlin,Bundeskanzleramt,Kundgebung,https://demo.stream/mariagoetz
DE,2020-10-22,18:00:00,85586,Poing,S-Bahnhof / Neue Unterführung,Kundgebung,
DE,2020-10-23,17:00:00,74889,Sinsheim,Burgplatz,Kundgebung,
DE,2020-10-24,14:00:00,83026,Rosenheim,wird noch bekanntgegeben,Kundgebung,
DE,2020-10-24,14:30:00,26382,Wilhelmshaven,Pacific Cafe,Spaziergang,
DE,2020-10-24,15:00:00,84130,Dingolfing,Marienplatz,Kundgebung,
DE,2020-10-24,15:00:00,84130,Dingolfing,MARIENPLATZ,Kundgebung,
DE,2020-10-24,15:00:00,22926,Ahrensburg,Parkplatz Schlossbrücke,Spaziergang,
DE,2020-10-24,15:30:00,14471,Potsdam,Brandenburger Tor,Kundgebung,
DE,2020-10-24,16:00:00,04109,Leipzig,Markt,Kundgebung,
DE,2020-10-24,16:00:00,67657,Kaiserslautern,Stiftsplatz (Marktplatz),Kundgebung,
BE,2020-10-25,12:00:00,1000,Brüssel,Centraal Station,Kundgebung,
BE,2020-10-25,13:00:00,1000,Brüssel,Bolivar/Station North,Spaziergang,
DE,2020-10-26,17:00:00,63825,Schöllkrippen,Marktplatz,Demonstration,
DE,2020-10-26,17:00:00,80331,München,Max Joseph Platz/vor der Oper,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-10-26,17:00:00,80331,München,Marienplatz,Meditation,
DE,2020-10-26,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-10-26,18:00:00,69190,Walldorf,Drehscheibe,Kundgebung,
DE,2020-10-26,18:30:00,99510,Apolda,Markt/ Rathaus,Spaziergang,
DE,2020-10-26,19:00:00,26441,Jever,Marktplatz,Spaziergang,
DE,2020-10-26,19:30:00,47906,Kempen,Buttermarkt,Spaziergang,
DE,2020-10-28,18:00:00,10117,Berlin,Bundeskanzleramt,Kundgebung,https://demo.stream/mariagoetz
DE,2020-10-29,18:00:00,85586,Poing,S-Bahnhof / Neue Unterführung,Kundgebung,
DE,2020-10-30,17:00:00,74889,Sinsheim,Burgplatz,Kundgebung,
DE,2020-10-31,12:00:00,38100,Braunschweig,Schlossplatz Reiterdenkmal,Kundgebung,https://www.youtube.com/channel/UCA4_Yt4m1wzGlhUVS6vW5YA
DE,2020-10-31,13:00:00,38100,Braunschweig,Schlossplatz Reiterdenkmal,Demonstration,https://www.youtube.com/channel/UCA4_Yt4m1wzGlhUVS6vW5YA
DE,2020-10-31,14:30:00,26382,Wilhelmshaven,Pacific Cafe,Spaziergang,
DE,2020-10-31,15:00:00,01067,Dresden,Theaterplatz,Kundgebung,https://demo.stream/live
DE,2020-10-31,15:00:00,38100,Braunschweig,Bürgerpark Hinter der VW Halle,Kundgebung,https://www.youtube.com/channel/UCA4_Yt4m1wzGlhUVS6vW5YA
DE,2020-11-02,17:00:00,80331,München,Max Joseph Platz/vor der Oper,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-02,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-11-05,18:00:00,10117,Berlin,Brandenburger Tor,Kundgebung,https://anonymous.support/tv
DE,2020-11-07,14:00:00,04105,Leipzig,Rosental,Kundgebung,
DE,2020-11-07,14:00:00,04105,Leipzig,Rosental,Kundgebung,
DE,2020-11-07,14:30:00,26382,Wilhelmshaven,Pacific Cafe,Spaziergang,
DE,2020-11-07,15:30:00,24568,Kaltenkirchen,Park ggü. Rathaus,Sonstiges,
DE,2020-11-09,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-09,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-11-11,11:00:00,14195,Berlin,Finkenstr. 21 / Spahn-Villa,Versammlung,
DE,2020-11-11,11:00:00,14195,Berlin,Finkenstraße 21,Flashmob,
DE,2020-11-13,19:00:00,04668,Grimma,Marktplatz,Spaziergang,
DE,2020-11-14,14:00:00,10117,Berlin,Am Kupfergraben 6 / Merkel,Versammlung,
DE,2020-11-14,14:00:00,10117,Berlin,Am Kupfergraben 6,Flashmob,
DE,2020-11-16,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-16,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-11-23,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-23,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
DE,2020-11-30,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-11-30,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,
AT,2020-12-06,17:00:00,4020,Linz,Hauptplatz,Kundgebung,
DE,2020-12-07,17:00:00,80331,München,Max Joseph Platz/vor der Oper,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-12-14,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair
DE,2020-12-24,12:00:00,10178,Berlin,Weltzeituhr/Alexanderplatz,Charity,https://demo.stream/anonymous
DE,2020-12-31,15:00:00,10117,Berlin,Straße des 17. Juni,Kundgebung,
DE,2021-06-20,16:30:00,94315,Straubing,Ludwigsplatz,Mahnwache,
